Measured Depth m,Weight on Bit kkgf,Average Rotary Speed rpm,Mud Flow In L/min,UCS,Rate of Penetration m/h
3026.4,7.1,217.21,2121.4,73.64148219,22.4
3026.4,6.3,217.21,2121.4,74.71002478,22.4
3026.5,6.3,217.21,2121.4,76.40612924,22.4
3026.5,6.9,217.25,2121.4,78.82514278,22.7
3026.6,6.9,217.25,2121.4,80.56253905,22.7
3026.7,7.1,217.25,2121.4,81.55527578,22.8
3026.8,6.9,217.25,2121.4,81.28239935,22.4
3026.9,6.9,217.25,2121.4,80.61370401,22.4
3027,6.4,217.25,2121.4,79.81263696,21.9
3027.1,6.9,217.54,2121.4,80.01724699,21.8
3027.2,6.9,217.54,2121.4,80.29542007,21.8
3027.3,6.5,217.54,2121.4,80.62136692,22.4
3027.4,6.5,217.54,2121.4,80.59799228,22.4
3027.5,6,217.21,2121.4,80.50674949,23.3
3027.6,6,217.21,2121.4,80.08415195,23.3
3027.6,5.8,217.21,2121.4,79.94579391,24.1
3027.7,5.8,217.21,2121.4,79.79458164,24.1
3027.7,6.3,217.21,2121.4,79.64574175,24.2
3027.8,6.3,217.52,2121.4,79.62122934,24.2
3027.9,6.3,217.52,2121.4,79.36904264,24.2
3027.9,6.8,217.52,2121.4,79.23273943,23.6
3028,6.8,217.52,2121.4,79.02414816,23.6
3028.1,6.8,217.52,2121.4,78.89906514,23.6
3028.2,6.4,217.52,2091.8,78.63048759,24.1
3028.3,6.4,217.52,2091.8,77.8424461,24.1
3028.3,6.1,217.52,2016.1,77.25901347,24.6
3028.4,6.1,217.52,2016.1,76.18891952,24.6
3028.5,6.1,217.56,2016.1,75.16693449,24.6
3028.5,6.2,217.56,1904.9,74.59879785,24.7
3028.6,6.2,217.56,1904.9,74.10730829,24.7
3028.7,6.2,217.56,2010.6,74.07394646,24.7
3028.8,6.2,217.56,2010.6,74.12310712,24.7
3028.8,6.6,217.5,2080.4,74.20907625,24.5
3028.9,6.6,217.5,2080.4,74.27120282,24.5
3029,6.3,217.5,2078.7,74.32244658,24.3
3029.1,6.2,217.5,2091.8,73.91047784,24.3
3029.2,6.2,217.5,2091.8,73.81162415,24.3
3029.3,6.1,217.5,2069.2,73.56447096,24.5
3029.4,6.1,217.25,2069.2,73.33157219,24.5
3029.5,6.7,217.25,1899.8,72.91030978,24.4
3029.6,6.6,217.25,2121.4,72.43718321,24.2
3029.7,6.6,217.25,2121.4,72.10737724,24.2
3029.7,6.9,217.25,1922,71.89080968,23.3
3029.8,6.9,217.25,1922,71.68265813,23.3
3029.9,5.7,217.25,2096.5,71.55600937,22.7
3030,5.7,217.25,2096.5,71.41462791,22.7
3030,5.7,217.25,1952.8,71.26023686,23.5
3030.1,5.7,217.2,1952.8,71.31112133,23.5
3030.2,5.7,217.2,1952.8,71.41281292,23.5
3030.2,6.5,217.2,2012.5,71.52175169,23.8
3030.3,6.5,217.2,2109.1,71.82401129,23.6
3030.4,6.5,217.2,2109.1,72.00802994,23.6
3030.5,6.5,217.33,2109.1,72.05061998,23.6
3030.5,6.1,217.33,2121.4,71.93167543,24.2
3030.6,6.1,217.33,2121.4,71.60418196,24.2
3030.6,6.1,217.33,2121.4,71.02709228,24.7
3030.8,6.1,217.33,2121.4,70.79061058,24.7
3030.9,5.9,217.33,2121.4,70.62794778,24.8
3031,5.6,217.33,2121.4,70.56864201,24.7
3031.1,5.6,217.44,2121.4,70.55592432,24.7
3031.1,5.8,217.44,2121.4,70.33807412,24.5
3031.2,5.8,217.44,2121.4,69.82077619,24.5
3031.2,5.8,217.44,2121.4,69.28274078,24.6
3031.3,5.8,217.83,2121.4,68.78217659,24.6
3031.4,5.7,217.83,2121.4,68.47758095,24.5
3031.5,5.7,217.83,2121.4,68.42607279,24.5
3031.5,6.5,217.83,2121.4,68.44606488,23.9
3031.6,6.5,217.83,2121.4,68.83971464,23.9
3031.7,6.5,217.83,2121.4,69.0192367,23.9
3031.7,6.9,217.83,2121.4,69.21113846,23.2
3031.8,6.9,217.42,2121.4,69.38559597,23.2
3031.8,5.6,217.42,2121.4,69.65788459,22.8
3031.9,5.6,217.42,2121.4,69.87442372,22.8
3032,5.6,217.42,2121.4,70.03679575,22.8
3032,5.5,217.42,1958.9,70.1765225,23.2
3032.1,5.5,217.42,1958.9,70.37359968,23.2
3032.2,7,217.36,1899.8,70.40861627,23.3
3032.3,6.8,217.36,1904.4,70.41782918,22.6
3032.4,6.8,217.36,1904.4,70.39755968,22.6
3032.5,6.8,217.36,2029.7,70.42975137,22.2
3032.6,6.8,217.36,2029.7,70.4993711,22.2
3032.6,6.6,217.36,2015.4,70.5103646,22.8
3032.7,6.6,217.69,2015.4,70.47186724,22.8
3032.8,6.5,217.69,1978.3,70.40114285,23.5
3032.9,6.5,217.69,1978.3,70.17502096,23.5
3032.9,6.2,217.46,2082.9,70.07730777,23.5
3033,6.2,217.46,2082.9,69.9431268,23.5
3033.1,6.8,217.46,1932,69.83487104,22.1
3033.2,6.8,217.46,1932,69.59889459,22.1
3033.2,6.3,217.6,2110.3,69.44468266,21.8
3033.3,6.3,217.6,2110.3,69.25361872,21.8
3033.4,6.3,217.6,2110.3,69.11771137,21.8
3033.4,6.7,217.6,2079,69.00186223,23.1
3033.5,6.7,217.6,2079,68.91972152,23.1
3033.5,7,217.6,2121.4,68.95200762,23.3
3033.6,7,217.6,2121.4,69.14223279,23.3
3033.7,7,217.71,2121.4,69.09167511,23.3
3033.7,6.7,217.71,1965.4,69.11276925,22.4
3033.8,6.1,217.71,1913.3,69.0791164,21.5
3033.9,6.1,217.71,1913.3,68.75457746,21.5
3034,6.5,217.71,1933.3,68.60138935,21.9
3034.1,6.8,217.43,1920.1,68.57433585,23
3034.2,6.8,217.43,1920.1,68.60016324,23
3034.3,6,217.43,2002.7,68.61101051,23.2
3034.4,6,217.43,2002.7,68.62416419,23.2
3034.5,7,217.43,2114.5,68.87788469,22.3
3034.6,5.4,217.43,2121.4,69.1200738,22.2
3034.7,5.4,217.5,2121.4,69.38564593,22.2
3034.8,6.4,217.5,2116.7,69.56001092,22.8
3034.9,6.1,217.5,2121.4,69.65459409,22.1
3035,6.1,217.5,2121.4,69.58548436,22.1
3035.1,6.5,217.5,2121.4,69.6964006,21.8
3035.2,6.3,217.5,2121.4,69.75816966,23.1
3035.3,6.3,217.5,2121.4,69.74908836,23.1
3035.4,7.1,217.13,2121.4,70.05558071,20.8
3035.5,7.1,217.13,2121.4,70.22223963,20.8
3035.5,6.7,217.13,2121.4,70.23662402,20.1
3035.6,6.7,217.13,2121.4,70.42835502,20.1
3035.7,6.7,217.13,2121.4,70.45569894,20.1
3035.7,5.7,217.13,2121.4,70.45357399,21.3
3035.8,6.9,217.13,2121.4,70.47574645,22.1
3035.9,6.9,217.13,2121.4,70.50992888,22.1
3036,6.1,217.13,2121.4,70.60140826,20.3
3036.1,6.1,217.13,2121.4,70.44233599,20.3
3036.1,7.1,217.13,2121.4,70.14480017,19.2
3036.2,7.1,217.13,2121.4,69.6257336,19.2
3036.3,6,217.54,2121.4,69.12471814,20.3
3036.4,6,217.54,2121.4,68.65410078,20.3
3036.4,6.9,217.54,2121.4,68.34528084,21.5
3036.5,6.9,217.54,2121.4,68.09736669,21.5
3036.6,7.1,217.54,2121.4,68.02688513,20.8
3036.7,7.1,217.54,2121.4,68.14042032,20.8
3036.7,6.7,217.54,2121.4,68.23772109,20.9
3036.8,6.7,217.54,2121.4,68.41605416,20.9
3036.9,6.6,217.58,2121.4,68.46594865,22.5
3037,6.6,217.58,2121.4,68.44261113,22.5
3037,5.9,217.58,2121.4,68.40202155,23
3037.1,5.9,217.58,2121.4,68.32431131,23
3037.2,5.9,217.58,2121.4,68.27685655,23
3037.2,6.5,217.58,2121.4,68.15442853,21.7
3037.3,6.5,217.58,2121.4,68.25399941,21.7
3037.3,6.8,217.3,2121.4,68.38078715,21.2
3037.4,6.8,217.3,2121.4,68.53374464,21.2
3037.6,6.7,217.3,2121.4,68.89487756,21.4
3037.6,6.7,217.3,2121.4,69.22426828,20.5
3037.7,6.7,217.3,2121.4,69.64617029,20.5
3037.8,6.7,217.3,2121.4,69.95755195,20.5
3037.8,5.5,217.3,2121.4,70.22021584,20.8
3037.9,5.5,217.3,2121.4,70.77961538,20.8
3037.9,5.5,217.3,2121.4,70.83557676,22.8
3038,5.5,217.3,2121.4,70.94481068,22.8
3038.1,5.7,217.54,2121.4,71.06372674,23.9
3038.2,5.7,217.54,2121.4,71.06190541,23.9
3038.2,6.6,217.54,2121.4,71.14363143,23.6
3038.3,6.6,217.68,2121.4,71.10279494,23.6
3038.4,6.6,217.68,2121.4,71.00725022,23.6
3038.4,6.4,217.68,2121.4,71.16315387,21.8
3038.5,6.4,217.68,2121.4,71.0151046,21.8
3038.6,6.1,217.68,2121.4,70.83640633,20.7
3038.7,6.1,217.68,2121.4,70.68239448,20.7
3038.7,5.7,217.68,2121.4,70.48909606,21
3038.8,5.7,217.68,2121.4,70.32816839,21
3038.9,6.4,217.31,2121.4,70.15550751,22
3039,6.4,217.31,2121.4,69.98231728,22
3039,5.9,217.31,2121.4,69.76085453,22.2
3039.1,5.9,217.31,2121.4,69.55043805,22.2
3039.2,5.9,217.31,2121.4,69.10908953,22.2
3039.2,6.3,217.31,2121.4,68.86790894,22.2
3039.3,6.3,217.31,2121.4,68.69008389,22.2
3039.3,6.7,217.31,2121.4,68.476063,22.4
3039.4,6.7,217.31,2121.4,68.36205684,22.4
3039.5,6.7,217.31,2121.4,68.30023283,22.4
3039.5,6.6,217.4,2121.4,68.22005436,22.1
3039.6,6.6,217.4,2121.4,68.17988137,22.1
3039.6,6.3,217.4,2121.4,68.25032751,21.4
3039.7,6.3,217.4,2121.4,68.25935545,21.4
3039.8,6.5,217.4,2121.4,68.27560367,20.4
3039.9,6.5,217.4,2121.4,68.30448282,20.4
3040,6.5,217.43,2121.4,68.41862294,20.1
3040.1,6.5,217.43,2121.4,68.38037201,20.1
3040.1,6.1,217.43,2121.4,68.37901215,20.8
3040.2,6.1,217.43,2121.4,68.38966474,20.8
3040.2,7.1,217.43,2121.4,68.40861614,21.3
3040.3,7.1,217.43,2121.4,68.52021231,21.3
3040.4,6.3,217.29,2121.4,68.56956174,20.4
3040.5,6.3,217.29,2121.4,68.57524613,20.4
3040.6,6.8,217.29,2121.4,68.52981038,19.7
3040.7,7.3,217.29,2121.4,68.52460725,19.5
3040.8,7.3,217.68,2121.4,68.39569002,19.5
3040.9,6.9,217.68,2121.4,68.40482272,19.2
3041,6.9,217.68,2121.4,68.34784158,18.9
3041.1,6.9,217.68,2121.4,68.34100399,18.9
3041.2,7,217.68,2121.4,68.41684603,18.9
3041.3,7,217.35,2121.4,68.51895445,18.9
3041.4,6.8,217.35,2121.4,68.62168358,19.7
3041.4,6.9,217.35,2121.4,68.59742416,20.6
3041.5,6.9,217.35,2121.4,68.56131614,20.6
3041.6,6.9,217.35,2121.4,68.42221885,20.6
3041.6,6.3,217.35,2121.4,68.20242951,19.9
3041.7,6.3,217.35,2121.4,68.05943542,19.9
3041.8,6.7,217.35,2121.4,67.95875918,19.3
3041.9,6.7,217.49,2121.4,68.03985619,19.3
3041.9,5.4,217.49,2121.4,68.09120074,20.3
3042,5.4,217.49,2121.4,68.1817824,20.3
3042.1,5.6,217.49,2121.4,68.34408036,23.6
3042.2,5.6,217.49,2121.4,68.33339041,23.6
3042.3,4.6,217.49,2121.4,68.07919862,26.7
3042.5,5,217.49,2121.4,67.88863587,27.1
3042.5,4.4,217.6,2121.4,67.68067817,27.1
3042.6,4.4,217.6,2121.4,67.45404564,27.1
3042.7,5.1,217.6,2121.4,67.35243414,27.1
3042.8,5.1,217.6,2121.4,67.32983061,27.1
3042.9,4.4,217.6,2121.4,67.3227375,27.1
3043,5,217.6,2121.4,67.47503898,27.1
3043.1,5,217.6,2121.4,67.59923253,27.1
3043.1,4.1,217.4,2121.4,67.74841736,27.1
3043.3,4.1,217.4,2121.4,67.9253131,27.1
3043.3,4.8,217.4,2121.4,68.16242607,27.1
3043.4,4.8,217.4,2121.4,68.35268004,27.1
3043.4,4.2,217.4,2121.4,68.49379337,27.5
3043.5,4.2,217.4,2121.4,68.66619982,27.5
3043.6,4.2,217.43,2121.4,68.86795963,28.4
3043.7,4.2,217.43,2121.4,69.01661162,28.4
3043.7,4.7,217.43,2121.4,69.14250105,29
3043.8,4.7,217.43,2121.4,69.37975788,29
3043.9,4.7,217.61,2121.4,69.52037423,29
3043.9,4.9,217.61,2121.4,69.52476349,28.9
3044,4.9,217.61,2121.4,69.5254295,28.9
3044,4.9,217.61,2121.4,69.5990832,29
3044.1,4.9,217.61,2121.4,69.577024,29
3044.2,4.8,217.42,2121.4,69.7106433,29
3044.3,4.8,217.42,2121.4,69.72002267,29
3044.4,4.1,217.42,2121.4,69.82764978,28.9
3044.5,4.1,217.4,2121.4,69.7810143,28.9
3044.5,4.6,217.4,2121.4,69.57597832,29
3044.7,4.4,217.4,2121.4,69.22100235,29.9
3044.8,4.4,217.4,2121.4,68.98332447,29.9
3044.9,3.8,217.4,2121.4,68.69925591,31
3045,3.7,217.4,2121.4,68.27199319,31.2
3045.1,3.7,217.4,2121.4,68.09214939,31.2
3045.1,4.3,217.52,2121.4,67.91889308,31.2
3045.2,4.3,217.52,2121.4,67.77894534,31.2
3045.3,4.8,217.52,2121.4,67.58304224,31.2
3045.4,4.8,217.52,2121.4,67.36370328,31.2
3045.4,4.9,217.52,2121.4,67.22979334,31.2
3045.5,4.9,217.52,2121.4,66.91604559,31.2
3045.6,5,217.52,2121.4,66.77601297,31.2
3045.7,5.1,217.31,2121.4,66.9889437,31.2
3045.8,5.1,217.31,2121.4,67.1976452,31.2
3045.9,5.3,217.31,2121.4,67.39330067,31.2
3046,5.3,217.31,2121.4,67.71375388,31.2
3046,5.2,217.31,2121.4,67.88684142,31.2
3046.1,5.2,217.45,2121.4,67.90529833,31.2
3046.2,4.9,217.45,2121.4,67.89633678,31.2
3046.3,4.9,217.45,2121.4,67.8274905,31.2
3046.3,5,217.45,2121.4,67.59899131,31.2
3046.4,5,217.45,2121.4,67.42363832,31.2
3046.5,4.6,217.45,2121.4,67.07723106,31.2
3046.6,4.6,218,2121.4,66.54247727,31.2
3046.7,4.6,218,2121.4,66.08249534,31.2
3046.8,5,217.59,2121.4,65.59197815,31.1
3046.9,5,217.59,2121.4,65.14549921,31.1
3047,5.5,217.59,2121.4,64.78977056,31.1
3047.1,5.3,217.59,2121.4,64.57434384,31.1
3047.2,5.3,217.59,2121.4,64.39110825,31.1
3047.3,5.3,217.59,2121.4,64.43469871,31.1
